,ID,Tweet,Source,Date,Likes,Retweet
121,1333458693715857412,@nomoonpye16 You can read more about the topic in the research paper on which this article is based: https://t.co/1F4nV8Gdtv,Twitter Web App,2020-11-30 17:11:41,0,0
122,1333448337731837953,Older people with sleep patterns like those of younger people tend to be in better physical and cognitive health th… https://t.co/iJWYIuisYg,Sprout Social,2020-11-30 16:30:32,68,19
123,1333432237971402752,"Arthur Ashkin was the father of optical trapping. In 2018, aged 96, he shared the Nobel Prize in Physics for “optic… https://t.co/47U3eI3Q6G",Sprout Social,2020-11-30 15:26:34,125,27
124,1333392588276199424,"Journal articles and slide presentations are different forms of communication with different attributes, drawbacks… https://t.co/Lo7DiFI5yK",Sprout Social,2020-11-30 12:49:00,108,24
125,1333255186857537537,A study in Nature shows how coupling organic molecules to lanthanide-doped inorganic nanoparticles yields a hybrid… https://t.co/J1obL1BNfD,Sprout Social,2020-11-30 03:43:01,116,20
126,1333239078880485378,Research published in Nature shows the potential for quantum defects in diamond for in vitro diagnostics.… https://t.co/F5CgfmmjDS,Sprout Social,2020-11-30 02:39:01,67,12
127,1333222970517491717,News &amp; Views: A paper in Nature reports a stunning fossil-bird discovery from the age of the dinosaurs that reminds… https://t.co/DmsKnjgbvs,Sprout Social,2020-11-30 01:35:00,114,27
128,1333181212295389187,A study published in Nature reports changes in the microbiota and immune cell dynamics in a large cohort of patient… https://t.co/imY2Mqodes,Sprout Social,2020-11-29 22:49:04,203,36
129,1333085924645867521,"Mentors don't have to be wise, ancient figures, akin to Yoda in Star Wars. https://t.co/sWOxw1mmMz",Sprout Social,2020-11-29 16:30:26,247,41
130,1333069826055663620,A study published in Nature reports that zonation extends to hepatic immune cells and that this spatial patterning… https://t.co/6HUDNhQJPD,Sprout Social,2020-11-29 15:26:28,105,24
131,1333017365357998083,"One of astronomy’s most renowned telescopes — the radio telescope at Arecibo, Puerto Rico — is permanently closing.… https://t.co/AvC8tOtY42",Sprout Social,2020-11-29 11:58:00,184,46
132,1332892794407497728,Oday Abushalbaq outlines the key habits needed to juggle the duties of his two positions. https://t.co/TlTXNj21Yp,Sprout Social,2020-11-29 03:43:00,69,9
133,1332876692688408578,A study in Nature suggests that riverine fish diversity can be conserved using protected area approaches employed i… https://t.co/HZIpLK5okO,Sprout Social,2020-11-29 02:39:01,112,24
134,1332860583037853698,News &amp; Views: A paper published in Nature reports a groundbreaking achievement – the first detection of neutrinos f… https://t.co/xTKEn97Uxh,Sprout Social,2020-11-29 01:35:01,120,41
135,1332818836228370432,TRF2 is dispensable for telomere protection specifically in the pluripotent cells that form during early embryonic… https://t.co/GUHpeZh9Nk,Sprout Social,2020-11-28 22:49:07,103,24
136,1332723464759881729,Recent events have left @DrTregoning feeling much more optimistic about the state of the world. https://t.co/umo8UElC5o,Sprout Social,2020-11-28 16:30:09,59,16
137,1332707354064920578,Analysis of humeri from fossils that span the fin-to-limb transition reveal that the change in the humerus shape is… https://t.co/ePSY1X89lc,Sprout Social,2020-11-28 15:26:08,112,15
138,1332654473286651905,"Ancient DNA has revealed that two baby boys carefully buried in the same grave more than 30,000 years ago were iden… https://t.co/g6uGz6YgJ6",Sprout Social,2020-11-28 11:56:00,373,64
139,1332534704466259969,"Editorial: After 75 years, UNESCO is facing one of its toughest tests. https://t.co/fPrtGHwriL",Sprout Social,2020-11-28 04:00:05,63,16
140,1332518579804246016,A Review published in Nature provides an overview on recent research and clinical developments in the field of fibr… https://t.co/2hYBfYcd8C,Sprout Social,2020-11-28 02:56:01,188,43
141,1332502472531783680,Scientists stuck at home are finding innovative ways to adapt their research questions. https://t.co/XdfPJoEvcM,Sprout Social,2020-11-28 01:52:00,77,10
142,1332486368455503877,A paper published in Nature provides a comprehensive annotation of regulatory elements in the zebrafish genome and… https://t.co/zKu6UGMlWt,Sprout Social,2020-11-28 00:48:01,65,8
143,1332456467639787522,This week on the Nature podcast: Scientists have finally confirmed the existence of a CNO cycle fusion reaction in… https://t.co/5iLBJM3bpi,Sprout Social,2020-11-27 22:49:12,58,12
144,1332436791899664385,Scientists suggest dogs could help control the pandemic because they can screen hundreds of people an hour in busy… https://t.co/gMxjx05HQ0,Sprout Social,2020-11-27 21:31:01,296,79
145,1332403496029708292,"Iceland’s science has been credited with preventing COVID-19 deaths — the country reports fewer than 7 per 100,000… https://t.co/QNWBs3Q0b1",Sprout Social,2020-11-27 19:18:42,177,53
146,1332361063057199109,"Recalled drugs, unsafe products and even environmental chaos are just some of the consequences of research that doe… https://t.co/MudJQHF1pS",Sprout Social,2020-11-27 16:30:06,54,18
147,1332344989192515585,"A paper in Nature reports a pan-genome assembly for barley, constructed from 20 genotypes including landraces, cult… https://t.co/FRBDl20roT",Sprout Social,2020-11-27 15:26:13,61,5
148,1332305178486329344,"Instant travel is the stuff of science fiction, but using one’s mind to beam across space might not be so far-fetch… https://t.co/48kwy74V5r",Sprout Social,2020-11-27 12:48:02,189,37
149,1332263068294918146,"RT @nature: Sign up for Nature Briefing and be entered to win this fun set of lab based board games including Lovelace &amp; Babbage, History H…",Twitter Web App,2020-11-27 10:00:42,0,7
150,1332172332580933632,"In the United States, lung cancer kills more women than does any other cancer, having surpassed breast cancer in 19… https://t.co/xsfVcmZxGm",Sprout Social,2020-11-27 04:00:09,164,66
151,1332156190151864321,.@chinatmills reviews Jonathan Sadowsky’s new book: The Empire of Depression. https://t.co/gRqspLMRHx,Sprout Social,2020-11-27 02:56:00,83,16
152,1332140087086379008,Changes in the Antarctic ice sheet during ice-age cycles were caused by the melting of ice sheets in the Northern H… https://t.co/z63XPRFJ6P,Sprout Social,2020-11-27 01:52:01,82,12
153,1332123977909555201,Cosmologists say that they have uncovered hints of an intriguing twisting in the way that ancient light moves acros… https://t.co/od7mXSPvEF,Sprout Social,2020-11-27 00:48:00,152,35
154,1332094084035514369,"A paper in Nature reports the sequenced genomes of 15 wheat varieties, enabling insights into influential genes for… https://t.co/ICIoyMPbVc",Sprout Social,2020-11-26 22:49:13,97,23
